Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
PD3851a_exome37	0.00E+00	0.00E+00	0.00E+00	2.45E-01	2.00E-01	2.00E-01	0.00E+00	2.00E-01
PD3890a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.90E-01	4.90E-01	0.00E+00	0.00E+00
PD3904a_exome37	0.00E+00	4.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-01	4.00E-01
PD3905a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD3945a_exome37	0.00E+00	2.45E-01	3.74E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.00E-01
PD4005a_exome37	4.00E-01	0.00E+00	0.00E+00	4.90E-01	0.00E+00	4.00E-01	4.00E-01	0.00E+00
PD4006a_exome37	0.00E+00	9.70E-01	0.00E+00	1.11E+00	1.00E+00	1.00E+00	0.00E+00	0.00E+00
PD4086a_exome37	0.00E+00	2.00E-01	0.00E+00	2.00E-01	0.00E+00	2.00E-01	2.00E-01	2.00E-01
PD4103a_exome37	0.00E+00	0.00E+00	4.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.00E-01
PD4107a_exome37	0.00E+00	1.36E+00	1.47E+00	0.00E+00	0.00E+00	0.00E+00	4.00E-01	0.00E+00
PD4109a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4115a_exome37	8.00E-01	7.75E-01	0.00E+00	0.00E+00	9.80E-01	0.00E+00	0.00E+00	6.00E-01
PD4120a_exome37	1.69E+00	0.00E+00	1.69E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4192a_exome37	4.00E-01	0.00E+00	4.00E-01	4.90E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4194a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4198a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4199a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4248a_exome37	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
