Samples	DBS78A	DBS78B	DBS78C
PD3851a_exome37	2.45E-01	2.45E-01	2.00E-01
PD3890a_exome37	4.90E-01	4.00E-01	4.90E-01
PD3904a_exome37	4.00E-01	4.00E-01	0.00E+00
PD3905a_exome37	2.00E-01	2.45E-01	2.00E-01
PD3945a_exome37	5.83E-01	6.00E-01	2.00E-01
PD4005a_exome37	4.00E-01	4.90E-01	4.90E-01
PD4006a_exome37	1.11E+00	1.00E+00	8.00E-01
PD4086a_exome37	2.45E-01	2.45E-01	2.00E-01
PD4103a_exome37	4.90E-01	4.00E-01	4.90E-01
PD4107a_exome37	9.80E-01	6.32E-01	4.00E-01
PD4109a_exome37	2.00E-01	2.45E-01	2.00E-01
PD4115a_exome37	8.72E-01	8.00E-01	6.00E-01
PD4120a_exome37	0.00E+00	0.00E+00	0.00E+00
PD4192a_exome37	4.00E-01	4.90E-01	4.00E-01
PD4194a_exome37	0.00E+00	2.45E-01	2.45E-01
PD4198a_exome37	0.00E+00	0.00E+00	0.00E+00
PD4199a_exome37	0.00E+00	0.00E+00	0.00E+00
PD4248a_exome37	0.00E+00	2.45E-01	2.45E-01
